review_id,hotel_id,username,title,content,overall_rating,review_date,helpful_votes,platform
1,1,Lenuta,Wonderful stay !,"Friendly staff , great customer service skills I am sorry to say it , but the property is in need of a bit of an update. Dear Lenuta,

Thank you so much for taking the time to...",5.0,2024-01-15,0,booking_focused
2,1,Gabriel,Very good,"The property is in significant need of an upgrade Dear Gabriel,

We very much appreciate your rating...",4.0,2024-01-15,0,booking_focused
3,1,Pensa,liz,"The huge hotel room and the location, it is close to the romexpo which made it perfect for the comic con event. Dear Pensa,

We very much appreciate your comments...",5.0,2024-01-15,0,booking_focused
4,1,Hassan,Very good,"They offered me late checkout thanks Dear Hassan,

Thank you so much for your lovely feedback!...",4.0,2024-01-15,0,booking_focused
5,1,Dmitrijs,Very good,"Breakfast is good windows can't be opened, no fresh air Dear Dmitrijs,

We very much appreciate your comments...",4.0,2024-01-15,0,booking_focused
6,1,Pavel,Superb,"great breakfast, nice size of the room, enjoyable one person in the morning at reception, I think it does not make it very smooth check out... Dear Pavel,

We very much appreciate your comments...",4.5,2024-01-15,0,booking_focused
7,1,Terry,Ciprian at front desk provided great service.,"Great selection.  Coffee could be richer and hotter. Dear Terry,

We very much appreciate your comments...",4.5,2024-01-15,0,booking_focused
8,1,Isabela,Wonderful hotel! Great location! Excellent breakfast!,"Everything was perfect! But most of all I have really enjoyed the breakfast! A wide variety of food,  I couldn't have asked for more!!! Congratulations! Wonderful place to stay! Dear Guest,
We very much appreciate your comments...",5.0,2024-01-15,0,booking_focused
9,1,Mihaela,Superb,"Close to airport with transport that can be booked at a convenient price.
Receptionist was very nice and kind .
Restaurant food was excellent and the same the drinks. Dear Guest,
We very much appreciate your comments...",4.5,2024-01-15,0,booking_focused
10,1,Gabriel,Exceptional,"The frontdesk staff was very friendly! Dear Guest,
We very much appreciate your comments...",5.0,2024-01-15,0,booking_focused
11,2,Roman,Very grate and new experience. Unforgettable time spending with my lovely 🥰🫶baby girl,"All Nil Tnks very much for your feedback
We are glad that you...",5.0,2024-01-15,0,booking_focused
12,2,Stefana,A fun way to spend a night in Bucharest,"- Everything felt very clean
- Plenty of fun activities in the room
- Friendly meet and greet (although, it was a bit weird that we were having the conversation and payment inside the room)
- Parking was convenient, right in front of the hotel - We had a small issue with the Jacuzzi leaking
- Wifi was slow; also they kept the long and complicated default password for some reason (could be changed or at least have a QR code to connect directly)
- I wish the bathroom also had the option for some c",5.0,2024-01-15,0,booking_focused
13,2,Barry,Exceptional,"We had an absolutely fantastic time hear, it was our first time in a room like this. I would highly recommend it. Super clean room and amazing staff",5.0,2024-01-15,0,booking_focused
14,2,Eli,Exceptional,Host very kind. Room clean and very comfortable Tnks very much for the positive feedback,5.0,2024-01-15,0,booking_focused
15,2,Dumitru,Exceptional,"Very clean...everything was excellent... Thank you for your positive feedback
 We are glad to hear...",5.0,2024-01-15,0,booking_focused
16,2,Sean,Host was very polite and helpful and provided everything  we asked for will definitely book again an,"Host was very polite and helpful and provided everything  we asked for will definitely book again and recommend for people to stay at apartment Nothing host and room was exceptional Thank you for your positive feedback🤗
 We are glad to...",5.0,2024-01-15,0,booking_focused
